season,team,name,slug,salary,best_score
2012-2013,DET,Sasha Kravtsov,singlky01,1500000,72.7
2013-2014,WAS,Glen Rice,ricegl02,490180,100.0
2014-2015,DAL,Eric Griffin,griffer01,150000,72.0
2014-2015,GSW,Aaron Craft,craftaa01,35000,60.9
2014-2015,GSW,Mitchell Watt,wattmi01,35000,57.1
2014-2015,HOU,Akil Mitchell,mitchak01,150000,56.0
2014-2015,NOP,Patric Young,youngpa01,100000,72.7
2014-2015,NYK,Orlando Sanchez,sanchor01,15000,59.3
2014-2015,UTA,Dee Bost,bostde01,65000,60.0
2014-2015,UTA,Dee Bost,bostde01,65000,60.0
2014-2015,WAS,Glen Rice,ricegl02,400000,100.0
2015-2016,ATL,Terran Petteway,pettete01,75000,50.0
2015-2016,BOS,Levi Randolph,randole01,25000,69.2
2015-2016,BOS,Corey Walden,waldeco01,25000,66.7
2015-2016,BKN,Ryan Boatright,boatrry01,75000,64.3
2015-2016,DAL,Brandon Ashley,ashlebr01,50000,76.9
2015-2016,DAL,Jarrid Famous,famouja01,10000,59.3
2015-2016,LAL,Jonathan Holmes,holmejo01,100000,69.0
2015-2016,LAL,Robert Upshaw,upsharo01,35000,72.0
2015-2016,NYK,Wesley Saunders,saundwe01,75000,66.7
2015-2016,NYK,Darion Atkins,atkinda01,75000,66.7
2015-2016,NYK,Travis Trice,tricetr01,50000,59.3
2015-2016,SAC,Marshall Henderson,hendema01,35000,76.5
2015-2016,TOR,Ronald Roberts,roberro01,75000,74.1
2015-2016,TOR,Michale Kyser,kysermi01,25000,64.3
2015-2016,TOR,Shannon Scott,scottsh02,25000,52.2
2015-2016,UTA,E.J. Singler,singlej01,50000,81.8
2016-2017,BKN,Egidijus Mockevicius,mockeeg01,100000,43.8
2016-2017,BKN,Beau Beech,beechbe01,45000,50.0
2016-2017,BKN,Prince Ibeh,ibehpr01,31969,58.3
2016-2017,CHI,Thomas Walkup,walkuth01,69500,56.0
2016-2017,DET,Nikola Jovanovic,jovanni01,30000,78.6
2016-2017,GSW,Cameron Jones,jonesca02,50000,76.9
2016-2017,GSW,Elgin Cook,cookel01,50000,70.0
2016-2017,GSW,Scott Wood,woodsc01,50000,58.3
2016-2017,IND,Nick Zeisloft,zeislni01,25000,61.5
2016-2017,LAL,Zach Auguste,augusza01,60000,60.9
2016-2017,MIA,Stefan Jankovic,jankost01,100000,64.5
2016-2017,NYK,J.P. Tokoto,tokotjp01,100000,45.5
2016-2017,OKC,Kaleb Tarczewski,tarczka01,75000,57.1
2016-2017,SAC,Isaiah Cousins,cousiis01,100000,66.7
2016-2017,SAS,Livio Jean-Charles,jeancli01,1188840,50.0
2016-2017,TOR,Brady Heslip,heslibr01,56500,66.7
2016-2017,TOR,Yanick Moreira,moreiya01,50000,53.8
2016-2017,TOR,E.J. Singler,singlej01,50000,81.8
2016-2017,UTA,Quincy Ford,fordqu01,75000,66.7
2017-2018,BKN,Yakuba Ouattara,ouattya01,,48.3
2017-2018,CHI,Jaylen Johnson,johnsja04,87552,81.5
2017-2018,CHI,C.J. Fair,faircj02,82944,55.6
2017-2018,HOU,Le'Bryan Nash,nashle01,46080,66.7
2017-2018,LAL,V.J. Beachem,beachvj01,50000,55.6
2017-2018,MEM,Rade Zagorac,zagorra01,950000,58.3
2017-2018,MIL,Jalen Moore,mooreja02,,80.0
2017-2018,SAS,Livio Jean-Charles,jeancli01,1035200,58.1
2017-2018,UTA,Eric Griffin,griffer01,,72.0
2018-2019,DAL,Terry Larrier,larrite01,6000,80.0
2018-2019,DAL,Ding Yanyuhang,yanyudi01,4737,50.0
2018-2019,IND,Stephan Hicks,hicksst01,47371,64.0
2018-2019,LAC,Justin Bibbs,bibbsju01,94742,64.0
2018-2019,MEM,Rade Zagorac,zagorra01,1378242,58.3
2018-2019,NOP,Garlon Green,greenga02,50000,75.0
2018-2019,NOP,Trevon Bluiett,bluietr01,,61.5
2018-2019,OKC,Richard Solomon,solomri01,47371,66.7
2018-2019,SAC,Cody Demps,dempsco01,47371,57.1
2018-2019,WAS,Tarik Phillip,phillta01,9474,57.1
2019-2020,CLE,Sir'Dominic Pointer,pointsi01,50752,56.2
2019-2020,LAL,Jordan Caroline,caroljo01,6000,80.0
2019-2020,NYK,Kenny Wooten,wooteke01,,58.3
2020-2021,NYK,Luca Vildoza,vildolu01,3500000,52.2
2020-2021,WAS,Caleb Homesley,homesca01,20000,59.3
2021-2022,ATL,Malik Ellison,ellisma01,53176,69.6
2021-2022,ATL,Justin Tillman,tillmju01,53176,64.5
2021-2022,MIA,Aric Holman,holmaar01,53176,64.0
2021-2022,MIL,Luca Vildoza,vildolu01,42789,54.5
2021-2022,NOP,Daulton Hommes,hommeda01,,64.3
2021-2022,SAS,D. J. Stewart,stewadj02,,64.0
2022-2023,CHI,Justin Lewis,lewisju02,,69.2
2022-2023,CHI,Justin Lewis,lewisju02,,69.2
2022-2023,SAC,DJ Steward,stewadj01,50000,58.3
2023-2024,ATL,Jarkel Joiner,joineja01,1119563,63.6
2023-2024,CHI,Justin Lewis,lewisju02,,69.2
2023-2024,DAL,Mike Miles,milesmi01,,66.7
2023-2024,MIL,Jaylin Galloway,galloja01,,66.7
2023-2024,SAS,Sir'Jabari Rice,ricesi01,,61.5
2023-2024,SAS,Seth Millner,millnse01,,63.6
2023-2024,SAS,Charles Bediako,bediach01,,69.0
2023-2024,UTA,Taevion Kinsey,kinseta02,64343,61.5
2023-2024,UTA,Joey Hauser,hausejo01,,66.7
2024-2025,BKN,Yongxi Cui,cuiyo01,,58.8
2024-2025,CHI,DJ Steward,stewadj01,,66.7
2024-2025,DET,Javante McCoy,mccoyja01,47265,58.3
2024-2025,GSW,Taran Armstrong,armstta02,,64.0
2024-2025,NYK,Boo Buie,buiebo01,,53.3
2024-2025,UTA,Taevion Kinsey,kinseta02,,61.5
2024-2025,WAS,Erik Stevenson,steveer01,66503,66.7
2025-2026,ATL,Nikola Djurisic,djurini01,1272870,74.1
2025-2026,ATL,Eli Ndiaye,ndiayel01,,57.1
2025-2026,BOS,RJ Luis,luisrj01,,55.6
2025-2026,BKN,David Muoka,muokada01,85300,63.6
2025-2026,BKN,Dre Davis,davisdr01,85300,73.7
2025-2026,BKN,Terry Roberts,roberte02,25000,66.7
2025-2026,DEN,Tamar Bates,batesta01,,60.0
2025-2026,GSW,Alex Toohey,tooheal01,,63.6
2025-2026,IND,Gabe McGlothan,mcgloga01,73153,57.1
2025-2026,MEM,Adama-Alpha Bal,balad01,73153,78.3
2025-2026,MEM,Adama-Alpha Bal,balad01,43892,78.3
2025-2026,OKC,Thomas Sorber,sorbeth01,4655040,69.2
2025-2026,SAS,Kyle Mangas,mangaky01,,66.7
2025-2026,TOR,Tyreke Key,keyty01,51207,72.7
2026-2027,ATL,Kingston Flemings,flemiki01,7348680,62.1
2026-2027,ATL,Zuby Ejiofor,ejiofzu01,3453360,52.2
2026-2027,ATL,Henri Veesaar,veesahe01,1357763,59.3
2026-2027,ATL,Will Baker,bakerwi01,1357763,76.2
2026-2027,BOS,Chris Cenac Jr.,cenacch01,2988120,76.2
2026-2027,BOS,Milos Uzan,uzanmi01,1357763,66.7
2026-2027,BOS,Tucker DeVries,devritu01,1357763,64.0
2026-2027,BKN,Joshua Jefferson,jeffejo01,2969520,78.6
2026-2027,CHI,Caleb Wilson,wilsoca01,10683720,83.3
2026-2027,CHI,Dailyn Swain,swainda01,4965480,66.7
2026-2027,CHA,Hannes Steinbach,steinha02,5227200,55.2
2026-2027,CHA,Christian Anderson Jr.,anderch02,4257480,81.2
2026-2027,CLE,Meleek Thomas,thomame01,1357763,80.0
2026-2027,CLE,Khalifa Diop,diopkh01,1357763,59.3
2026-2027,DAL,Morez Johnson Jr.,johnsmo01,6754800,83.3
2026-2027,DAL,Sergio de Larrea,delarse01,3182280,62.5
2026-2027,DAL,Tarik Biberovic,biberta01,3000000,64.3
2026-2027,DEN,Trevon Brazile,brazitr01,1357763,69.2
2026-2027,DET,Ebuka Okorie,okorieb01,4481280,66.7
2026-2027,GSW,Yaxel Lendeborg,lendeya01,6096240,64.5
2026-2027,GSW,Alex Toohey,tooheal01,2185116,64.0
2026-2027,HOU,Bruce Thornton,thornbr01,1357763,76.9
2026-2027,LAC,Keaton Wagler,wagleke01,9674760,81.5
2026-2027,LAC,Baba Miller,milleba01,1705630,81.8
2026-2027,LAL,Cameron Carr,carrca01,3315360,74.1
2026-2027,MEM,Cameron Boozer,boozeca02,11849760,81.5
2026-2027,MEM,Karim López,lopezka01,3746760,72.7
2026-2027,MIA,Ryan Conwell,conwery01,1357763,72.7
2026-2027,MIA,J'Vonne Hadley,hadlejv01,1357763,75.0
2026-2027,MIL,Brayden Burries,burribr01,6417360,64.3
2026-2027,MIL,Nate Ament,amentna01,5502000,66.7
2026-2027,MIL,Bogoljub Markovic,markobo01,1357763,66.7
2026-2027,MIN,Isaiah Evans,evansis01,1357763,84.6
2026-2027,OKC,Aday Mara,maraad01,5791680,66.7
2026-2027,OKC,Thomas Sorber,sorbeth01,4887720,74.1
2026-2027,OKC,Bennett Stirtz,stirtbe01,4717320,64.0
2026-2027,OKC,Christoph Tilly,tillych01,1357763,69.2
2026-2027,PHI,Labaron Philon Jr.,philola01,3597120,71.4
2026-2027,PHI,Saint Thomas,thomasa03,1357763,80.0
2026-2027,PHX,Koa Peat,peatko01,2926800,66.7
2026-2027,SAC,Darius Acuff Jr.,acuffda01,8021640,69.6
2026-2027,SAC,Alex Karaban,karabal01,2948280,69.6
2026-2027,SAC,Emanuel Sharp,sharpem01,1357763,69.2
2026-2027,SAS,Jayden Quaintance,quainja01,3902760,60.0
2026-2027,SAS,Tarris Reed Jr.,reedjta01,3076920,63.6
2026-2027,TOR,Allen Graves,graveal01,4065720,75.0
2026-2027,TOR,Nate Bittle,bittlna01,1357763,66.7
2026-2027,UTA,Darryn Peterson,peterda02,13195320,78.6
2026-2027,WAS,AJ Dybantsa,dybanaj01,14748000,57.1
