name,season,team,salary,candidate_1_id,candidate_1_score,candidate_2_id,candidate_2_score,candidate_3_id,candidate_3_score
Marcus Williams,2007-2008,SAS,1193090,1135,100.0,1221,100.0,2525,85.71428571428572
Nene Hilario,2011-2012,WAS,,1731,59.25925925925925,1821,59.25925925925925,961,58.33333333333333
Luc Richard Mbah a Moute,2011-2012,MIL,,1277,80.0,654,60.0,3603,54.054054054054056
Jose Barea,2011-2012,MIN,,1117,77.77777777777779,2413,69.56521739130434,2182,66.66666666666667
B.J. Mullens,2011-2012,CHA,,1306,78.26086956521739,1026,66.66666666666667,1952,63.63636363636363
Ishmael Smith,2011-2012,ORL,,312,84.61538461538461,1389,81.81818181818181,2130,72.0
Diamon Simpson,2011-2012,HOU,,1843,74.07407407407408,1039,71.42857142857143,2037,68.96551724137932
Nene Hilario,2012-2013,WAS,,1731,59.25925925925925,1821,59.25925925925925,961,58.33333333333333
Jose Barea,2012-2013,MIN,,1117,77.77777777777779,2413,69.56521739130434,2182,66.66666666666667
Luc Richard Mbah a Moute,2012-2013,MIL,,1277,80.0,654,60.0,3603,54.054054054054056
B.J. Mullens,2012-2013,CHA,,1306,78.26086956521739,1026,66.66666666666667,1952,63.63636363636363
Ishmael Smith,2012-2013,MIL,,312,84.61538461538461,1389,81.81818181818181,2130,72.0
Christapher Johnson,2012-2013,MEM,,1365,81.25,1519,81.25,2776,72.72727272727273
Christapher Johnson,2012-2013,MEM,,1365,81.25,1519,81.25,2776,72.72727272727273
Glen Rice Jr,2013-2014,WAS,490180,181,100.0,1610,100.0,3697,100.0
Nene Hilario,2013-2014,WAS,,1731,59.25925925925925,1821,59.25925925925925,961,58.33333333333333
Jose Barea,2013-2014,MIN,,1117,77.77777777777779,2413,69.56521739130434,2182,66.66666666666667
Luc Richard Mbah a Moute,2013-2014,MIN,,1277,80.0,654,60.0,3603,54.054054054054056
Luigi Datome,2013-2014,DET,,1609,86.95652173913044,2589,54.54545454545454,3323,53.84615384615385
Ishmael Smith,2013-2014,PHX,,312,84.61538461538461,1389,81.81818181818181,2130,72.0
B.J. Mullens,2013-2014,PHI,,1306,78.26086956521739,1026,66.66666666666667,1952,63.63636363636363
Glen Rice Jr.,2013-2014,WAS,,181,100.0,1610,100.0,3697,100.0
